code,code_name,ipoDate,outDate,type,status
of.159530,易方达国证机器人产业ETF,2024-01-10,,5,1
of.159531,南方中证2000ETF,2023-09-07,,5,1
of.159532,易方达中证2000ETF,2023-09-13,,5,1
of.159533,博时中证2000ETF,2024-05-28,,5,1
of.159535,嘉实中证2000ETF,2023-09-14,,5,1
of.159536,汇添富中证2000ETF,2023-09-13,,5,1
of.159537,国泰国证信息技术创新主题ETF,2023-09-20,,5,1
of.159538,富国国证信息技术创新主题ETF,2023-09-14,,5,1
of.159539,广发国证信创ETF,2023-09-20,,5,1
of.159540,易方达国证信息技术创新主题ETF,2023-09-20,,5,1
of.159541,万家创业板综合ETF,2023-10-18,,5,1
of.159542,大成中证工程机械ETF,2024-05-28,,5,1
of.159543,工银国证2000ETF,2023-11-09,,5,1
of.159545,易方达恒生港股通高股息低波动ETF,2024-03-27,,5,1
of.159546,国泰中证全指集成电路ETF,2023-10-11,,5,1
of.159547,华夏中证红利低波动ETF,2024-01-25,,5,1
of.159549,天弘中证红利低波动100ETF,2023-11-23,,5,1
of.159551,国泰中证机器人ETF,2023-11-08,,5,1
of.159552,招商中证2000增强策略ETF,2024-06-19,,5,1
of.159553,海富通中证2000增强策略ETF,2024-03-27,,5,1
of.159555,银华中证2000增强策略ETF,2023-12-01,,5,1
of.159556,平安中证2000增强策略ETF,2023-12-27,,5,1
of.159557,嘉实恒生医疗保健ETF(QDII),2024-05-07,,5,1
of.159558,易方达中证半导体材料设备主题ETF,2024-06-06,,5,1
of.159559,景顺长城国证机器人产业ETF,2023-11-30,,5,1
of.159560,景顺长城中证芯片产业ETF,2023-11-09,,5,1
of.159561,嘉实德国DAXETF(QDII),2024-04-03,,5,1
of.159562,华夏中证沪深港黄金产业股票ETF,2024-01-11,,5,1
of.159563,华夏创业板综合ETF,2024-02-01,,5,1
of.159565,易方达中证汽车零部件主题ETF,2024-02-08,,5,1
of.159566,易方达国证新能源电池ETF,2024-01-31,,5,1
of.159567,银华国证港股通创新药ETF,2024-01-03,,5,1
of.159568,博时港股通互联网ETF,2024-02-08,,5,1
of.159569,景顺长城国证港股通红利低波动率ETF,2024-08-14,,5,1
of.159570,汇添富国证港股通创新药ETF,2023-12-28,,5,1
of.159571,富国创业板中盘200ETF,2023-12-20,,5,1
of.159572,易方达创业板中盘200ETF,2023-12-15,,5,1
of.159573,华夏创业板中盘200ETF,2023-12-15,,5,1
of.159575,银华创业板中盘200ETF,2023-12-20,,5,1
of.159576,广发深证100ETF,2023-12-21,,5,1
of.159577,汇添富MSCI美国50ETF,2024-02-05,,5,1
of.159578,南方深证主板50ETF,2024-05-30,,5,1
of.159579,华安深证主板50ETF,2024-07-05,,5,1
of.159581,万家中证红利ETF,2024-03-06,,5,1
of.159582,博时中证半导体产业ETF,2024-04-08,,5,1
of.159583,富国中证通信设备主题ETF,2024-06-28,,5,1
of.159586,南方中证全指计算机ETF,2024-03-07,,5,1
of.159587,广发国证粮食产业ETF,2024-08-08,,5,1
of.159588,景顺长城国证石油天然气ETF,2024-05-23,,5,1
of.159589,广发中证红利ETF,2024-03-14,,5,1
of.159590,汇添富中证全指软件ETF,2024-10-28,,5,1
of.159591,富国中证A50ETF,2024-03-07,,5,1
of.159592,银华中证A50ETF,2024-03-06,,5,1
of.159593,平安中证A50ETF,2024-03-04,,5,1
of.159595,大成中证A50ETF,2024-03-06,,5,1
of.159596,华宝中证A50ETF,2024-03-07,,5,1
of.159597,易方达创业板成长ETF,2024-05-08,,5,1
of.159599,西藏东财中证芯片产业ETF,2024-04-19,,5,1
of.159601,华夏MSCI中国A50互联互通ETF,2021-11-01,,5,1
of.159602,南方MSCI中国A50互联互通ETF,2021-10-29,,5,1
of.159603,天弘中证科创创业50ETF,2022-05-26,,5,1
of.159605,广发中证海外中国互联网30(QDII-ETF),2021-11-24,,5,1
of.159606,易方达中证500质量成长ETF,2021-12-17,,5,1
of.159607,嘉实中证海外中国互联网30ETF(QDII),2021-11-24,,5,1
of.159608,广发中证稀有金属主题ETF,2021-12-15,,5,1
of.159609,浦银安盛中证光伏产业ETF,2022-06-16,,5,1
of.159610,景顺长城中证500增强策略ETF,2021-12-13,,5,1
of.159611,广发中证全指电力公用事业ETF,2021-12-29,,5,1
of.159612,国泰标普500(QDII-ETF),2022-05-09,,5,1
of.159613,嘉实中证信息安全主题ETF,2022-01-19,,5,1
of.159615,南方恒生生物科技ETF(QDII),2022-06-17,,5,1
of.159616,建信中证农牧主题ETF,2022-07-21,,5,1
of.159617,华夏中证智选500价值稳健策略ETF,2022-06-09,,5,1
of.159618,华安中证光伏产业ETF,2022-04-08,,5,1
of.159619,国泰中证基建ETF,2022-02-09,,5,1
of.159620,华夏中证智选500成长创新策略ETF,2022-07-19,,5,1
of.159621,国泰MSCI中国A股ESG通用ETF,2022-08-30,,5,1
of.159622,西藏东财中证沪港深创新药产业ETF,2023-04-21,,5,1
of.159623,博时成渝经济圈ETF,2022-08-15,,5,1
of.159625,嘉实国证绿色电力ETF,2022-04-21,,5,1
of.159627,华夏中证A100ETF,2022-11-08,,5,1
of.159628,万家国证2000ETF,2022-06-29,,5,1
of.159629,富国中证1000ETF,2022-07-27,,5,1
of.159630,汇添富中证A100ETF,2022-10-20,,5,1
of.159631,招商中证A100ETF,2022-08-18,,5,1
of.159632,华安纳斯达克100ETF(QDII),2022-07-21,,5,1
of.159633,易方达中证1000ETF,2022-07-28,,5,1
of.159635,华夏中证基建ETF,2022-06-28,,5,1
of.159636,工银瑞信国证港股通科技30ETF,2022-06-30,,5,1
of.159637,东财中证新能源车龙头ETF,2022-08-19,,5,1
of.159638,嘉实中证高端装备细分50ETF,2022-08-05,,5,1
of.159639,南方中证上海环交所碳中和ETF,2022-07-11,,5,1
of.159640,工银瑞信中证上海环交所碳中和ETF,2022-07-13,,5,1
of.159641,招商中证上海环交所碳中和ETF,2022-07-14,,5,1
of.159642,大成中证上海环交所碳中和ETF,2022-07-13,,5,1
of.159643,国泰国证疫苗与生物科技ETF,2022-08-10,,5,1
of.159645,富国国证疫苗与生物科技ETF,2022-09-16,,5,1
of.159646,华泰柏瑞国证疫苗与生物科技ETF,2022-08-11,,5,1
of.159647,鹏华中证中药ETF,2022-07-20,,5,1
of.159649,华安中债1-5年国开债ETF,2022-08-08,,5,1
of.159650,博时中债0-3年国开行ETF,2022-08-26,,5,1
of.159651,平安中债-0-3年国开行债券ETF,2022-09-01,,5,1
of.159652,汇添富中证细分有色金属产业主题ETF,2023-01-16,,5,1
of.159653,国联安国证ESG300ETF,2023-03-06,,5,1
of.159655,华夏标普500ETF(QDII),2022-10-12,,5,1
of.159656,万家沪深300成长ETF,2022-12-28,,5,1
of.159657,鹏华国证疫苗与生物科技ETF,2023-02-22,,5,1
of.159658,华安中证数字经济主题ETF,2022-09-27,,5,1
of.159659,招商纳斯达克100ETF(QDII),2023-04-12,,5,1
of.159660,汇添富纳斯达克100ETF,2023-03-30,,5,1
of.159661,嘉实中证A100ETF,2023-11-23,,5,1
of.159662,南方国证交通运输行业ETF,2022-11-23,,5,1
of.159663,华夏中证机床ETF,2022-10-12,,5,1
of.159665,工银瑞信国证半导体芯片ETF,2022-12-22,,5,1
of.159666,华夏中证全指运输ETF,2023-01-13,,5,1
of.159667,国泰中证机床ETF,2022-10-12,,5,1
of.159669,国泰国证绿色电力ETF,2022-12-29,,5,1
of.159670,国联安中证消费50ETF,2023-04-14,,5,1
